date,avg_co,co_resid,wind_power_dir_avg,power_norm,speed_norm
02mar2002,1.983333,1.428219,356.0736,3.451391,7.163271
03mar2002,1.470833,1.028833,284.5908,80.00746,57.85683
04mar2002,2.029167,1.542871,222.1327,48.19918,45.19886
05mar2002,2.5375,2.021289,221.256,9.856635,19.95248
06mar2002,1.921739,1.351814,31.12487,28.01309,15.72487
07mar2002,1.695833,1.130877,64.10387,41.61249,42.9507
08mar2002,1.8375,1.12035,196.7456,151.6361,71.52578
09mar2002,1.383333,.6570268,247.5778,568.8298,97.26698
10mar2002,1.520833,1.02235,277.772,185.4634,67.77557
11mar2002,2.0125,1.392555,189.3941,76.69677,51.5051
12mar2002,1.665217,1.071839,190.9511,15.39439,30.33901
13mar2002,1.533333,.8705963,230.4359,22.82887,23.50759
14mar2002,1.291667,.6045111,140.7304,84.10306,42.96507
15mar2002,1.2,.5122377,301.2456,69.07788,39.21848
16mar2002,.8041667,.200059,38.7621,102.5631,63.1663
17mar2002,1.045833,.4983572,84.11281,51.63552,35.57672
18mar2002,1.158333,.5665616,57.06431,11.82368,17.00381
19mar2002,1.852174,1.258796,108.6515,12.82444,27.19326
20mar2002,1.2625,.6925747,16.43078,21.82587,23.50118
21mar2002,.9416667,.3767101,324.4366,193.7338,70.12379
22mar2002,1.179167,.6332093,267.5571,145.5259,71.16602
23mar2002,1.2625,.6302188,250.6653,116.4518,48.15902
24mar2002,.9541667,.4066905,37.34613,214.2931,73.47356
25mar2002,.9625,.4197215,51.29458,211.7281,81.70448
26mar2002,1.156522,.6403106,21.65326,68.65675,44.21125
27mar2002,2.016667,1.418568,185.5348,13.81018,22.03454
28mar2002,1.733333,1.140203,183.9895,72.39256,53.93292
29mar2002,1.75,1.126876,13.29768,2.085318,2.570344
30mar2002,1.483333,.8510521,252.0927,94.56548,56.47372
31mar2002,1.504167,.9285169,271.386,49.55914,36.69177
01apr2002,1.7,1.365214,96.56415,19.08079,11.222
02apr2002,1.033333,.6969413,314.7128,61.01822,37.95758
03apr2002,.9958333,.6828939,320.0753,24.52744,33.827
04apr2002,1.047826,.7888488,339.2214,16.43445,26.12983
05apr2002,1.395833,1.057869,355.4663,12.09306,14.12747
06apr2002,1.9125,1.565378,118.2979,17.45443,19.87325
07apr2002,1.591667,1.273003,183.2484,53.53167,48.07641
08apr2002,1.9125,1.549541,169.4802,5.448564,12.08134
09apr2002,1.552174,1.215782,27.16666,24.32679,27.37546
10apr2002,1.816667,1.381528,170.5686,40.99319,45.03619
11apr2002,1.5625,1.004514,196.7711,126.5935,67.13934
